timestamp,room,temperature,presence,luminosity
2025-03-01 00:00:00,Sala,28.1,0,15.0
2025-03-01 00:00:00,Quarto,23.3,1,40.0
2025-03-01 00:00:00,Cozinha,28.1,0,14.0
2025-03-01 00:01:00,Sala,28.0,0,20.0
2025-03-01 00:01:00,Quarto,23.4,1,23.0
2025-03-01 00:01:00,Cozinha,28.0,0,17.0
2025-03-01 00:02:00,Sala,28.0,0,14.0
2025-03-01 00:02:00,Quarto,23.1,1,10.0
2025-03-01 00:02:00,Cozinha,28.0,0,10.0
2025-03-01 00:03:00,Sala,28.0,0,12.0
2025-03-01 00:03:00,Quarto,23.2,1,16.0
2025-03-01 00:03:00,Cozinha,28.0,0,11.0
2025-03-01 00:04:00,Sala,28.4,0,14.0
2025-03-01 00:04:00,Quarto,23.0,1,10.0
2025-03-01 00:04:00,Cozinha,28.4,0,13.0
2025-03-01 00:05:00,Sala,28.0,0,12.0
2025-03-01 00:05:00,Quarto,23.2,1,21.0
2025-03-01 00:05:00,Cozinha,28.0,0,14.0
2025-03-01 00:06:00,Sala,28.0,0,21.0
2025-03-01 00:06:00,Quarto,23.0,1,14.0
2025-03-01 00:06:00,Cozinha,28.0,0,17.0
2025-03-01 00:07:00,Sala,28.0,0,16.0
2025-03-01 00:07:00,Quarto,22.5,1,10.0
2025-03-01 00:07:00,Cozinha,28.0,0,16.0
2025-03-01 00:08:00,Sala,28.2,0,16.0
2025-03-01 00:08:00,Quarto,22.9,1,25.0
2025-03-01 00:08:00,Cozinha,28.2,0,11.0
2025-03-01 00:09:00,Sala,28.0,0,14.0
2025-03-01 00:09:00,Quarto,23.5,1,35.0
2025-03-01 00:09:00,Cozinha,28.0,0,10.0
2025-03-01 00:10:00,Sala,28.1,0,14.0
2025-03-01 00:10:00,Quarto,22.7,1,39.0
2025-03-01 00:10:00,Cozinha,28.1,0,18.0
2025-03-01 00:11:00,Sala,28.3,0,12.0
2025-03-01 00:11:00,Quarto,22.8,1,35.0
2025-03-01 00:11:00,Cozinha,28.3,0,18.0
2025-03-01 00:12:00,Sala,28.0,0,14.0
2025-03-01 00:12:00,Quarto,22.5,1,12.0
2025-03-01 00:12:00,Cozinha,28.0,0,17.0
2025-03-01 00:13:00,Sala,28.4,0,15.0
2025-03-01 00:13:00,Quarto,23.5,1,35.0
2025-03-01 00:13:00,Cozinha,28.4,0,13.0
2025-03-01 00:14:00,Sala,28.1,0,20.0
2025-03-01 00:14:00,Quarto,23.0,1,40.0
2025-03-01 00:14:00,Cozinha,28.1,0,7.0
2025-03-01 00:15:00,Sala,28.2,0,15.0
2025-03-01 00:15:00,Quarto,22.9,1,31.0
2025-03-01 00:15:00,Cozinha,28.2,0,9.0
2025-03-01 00:16:00,Sala,28.0,0,16.0
2025-03-01 00:16:00,Quarto,23.5,1,22.0
2025-03-01 00:16:00,Cozinha,28.0,0,13.0
2025-03-01 00:17:00,Sala,28.0,0,18.0
2025-03-01 00:17:00,Quarto,23.2,1,22.0
2025-03-01 00:17:00,Cozinha,28.0,0,17.0
2025-03-01 00:18:00,Sala,28.0,0,18.0
2025-03-01 00:18:00,Quarto,22.6,1,25.0
2025-03-01 00:18:00,Cozinha,28.0,0,14.0
2025-03-01 00:19:00,Sala,28.0,0,16.0
2025-03-01 00:19:00,Quarto,23.1,1,30.0
2025-03-01 00:19:00,Cozinha,28.0,0,14.0
2025-03-01 00:20:00,Sala,28.0,0,14.0
2025-03-01 00:20:00,Quarto,22.8,1,18.0
2025-03-01 00:20:00,Cozinha,28.0,0,15.0
2025-03-01 00:21:00,Sala,28.1,0,21.0
2025-03-01 00:21:00,Quarto,23.1,1,34.0
2025-03-01 00:21:00,Cozinha,28.1,0,15.0
2025-03-01 00:22:00,Sala,28.0,0,15.0
2025-03-01 00:22:00,Quarto,23.0,1,40.0
2025-03-01 00:22:00,Cozinha,28.0,0,14.0
2025-03-01 00:23:00,Sala,28.1,0,15.0
2025-03-01 00:23:00,Quarto,22.5,1,40.0
2025-03-01 00:23:00,Cozinha,28.1,0,17.0
2025-03-01 00:24:00,Sala,28.2,0,12.0
2025-03-01 00:24:00,Quarto,23.5,1,10.0
2025-03-01 00:24:00,Cozinha,28.2,0,17.0
2025-03-01 00:25:00,Sala,28.7,0,12.0
2025-03-01 00:25:00,Quarto,22.7,1,31.0
2025-03-01 00:25:00,Cozinha,28.7,0,13.0
2025-03-01 00:26:00,Sala,28.0,0,15.0
2025-03-01 00:26:00,Quarto,22.5,1,37.0
2025-03-01 00:26:00,Cozinha,28.0,0,12.0
2025-03-01 00:27:00,Sala,28.5,0,13.0
2025-03-01 00:27:00,Quarto,22.8,1,40.0
2025-03-01 00:27:00,Cozinha,28.5,0,11.0
2025-03-01 00:28:00,Sala,28.1,0,19.0
2025-03-01 00:28:00,Quarto,22.5,1,33.0
2025-03-01 00:28:00,Cozinha,28.1,0,16.0
2025-03-01 00:29:00,Sala,28.2,0,11.0
2025-03-01 00:29:00,Quarto,22.5,1,38.0
2025-03-01 00:29:00,Cozinha,28.2,0,16.0
2025-03-01 00:30:00,Sala,28.1,0,16.0
2025-03-01 00:30:00,Quarto,22.7,1,33.0
2025-03-01 00:30:00,Cozinha,28.1,0,16.0
2025-03-01 00:31:00,Sala,28.0,0,21.0
2025-03-01 00:31:00,Quarto,23.2,1,12.0
2025-03-01 00:31:00,Cozinha,28.0,0,17.0
2025-03-01 00:32:00,Sala,28.0,0,17.0
2025-03-01 00:32:00,Quarto,23.5,1,18.0
2025-03-01 00:32:00,Cozinha,28.0,0,18.0
2025-03-01 00:33:00,Sala,28.1,0,17.0
2025-03-01 00:33:00,Quarto,23.5,1,26.0
2025-03-01 00:33:00,Cozinha,28.1,0,13.0
2025-03-01 00:34:00,Sala,28.0,0,13.0
2025-03-01 00:34:00,Quarto,23.0,1,35.0
2025-03-01 00:34:00,Cozinha,28.0,0,16.0
2025-03-01 00:35:00,Sala,28.2,0,15.0
2025-03-01 00:35:00,Quarto,23.5,1,26.0
2025-03-01 00:35:00,Cozinha,28.2,0,23.0
2025-03-01 00:36:00,Sala,28.2,0,12.0
2025-03-01 00:36:00,Quarto,22.5,1,37.0
2025-03-01 00:36:00,Cozinha,28.2,0,14.0
2025-03-01 00:37:00,Sala,28.2,0,16.0
2025-03-01 00:37:00,Quarto,23.0,1,17.0
2025-03-01 00:37:00,Cozinha,28.2,0,10.0
2025-03-01 00:38:00,Sala,28.0,0,18.0
2025-03-01 00:38:00,Quarto,23.1,1,11.0
2025-03-01 00:38:00,Cozinha,28.0,0,16.0
2025-03-01 00:39:00,Sala,28.1,0,12.0
2025-03-01 00:39:00,Quarto,23.1,1,31.0
2025-03-01 00:39:00,Cozinha,28.1,0,12.0
2025-03-01 00:40:00,Sala,28.1,0,17.0
2025-03-01 00:40:00,Quarto,23.5,1,40.0
2025-03-01 00:40:00,Cozinha,28.1,0,11.0
2025-03-01 00:41:00,Sala,28.0,0,17.0
2025-03-01 00:41:00,Quarto,23.3,1,38.0
2025-03-01 00:41:00,Cozinha,28.0,0,27.0
2025-03-01 00:42:00,Sala,28.2,0,18.0
2025-03-01 00:42:00,Quarto,23.5,1,40.0
2025-03-01 00:42:00,Cozinha,28.2,0,14.0
2025-03-01 00:43:00,Sala,28.2,0,13.0
2025-03-01 00:43:00,Quarto,22.9,1,23.0
2025-03-01 00:43:00,Cozinha,28.2,0,15.0
2025-03-01 00:44:00,Sala,28.7,0,9.0
2025-03-01 00:44:00,Quarto,23.3,1,10.0
2025-03-01 00:44:00,Cozinha,28.7,0,14.0
2025-03-01 00:45:00,Sala,28.3,0,15.0
2025-03-01 00:45:00,Quarto,22.5,1,19.0
2025-03-01 00:45:00,Cozinha,28.3,0,17.0
2025-03-01 00:46:00,Sala,28.0,0,16.0
2025-03-01 00:46:00,Quarto,23.0,1,20.0
2025-03-01 00:46:00,Cozinha,28.0,0,21.0
2025-03-01 00:47:00,Sala,28.2,0,9.0
2025-03-01 00:47:00,Quarto,23.1,1,20.0
2025-03-01 00:47:00,Cozinha,28.2,0,18.0
2025-03-01 00:48:00,Sala,28.0,0,15.0
2025-03-01 00:48:00,Quarto,23.3,1,40.0
2025-03-01 00:48:00,Cozinha,28.0,0,11.0
2025-03-01 00:49:00,Sala,28.0,0,14.0
2025-03-01 00:49:00,Quarto,22.7,1,40.0
2025-03-01 00:49:00,Cozinha,28.0,0,16.0
2025-03-01 00:50:00,Sala,28.0,0,18.0
